Sprint,Module,Developer,BA,QA,Actual_Story_Points,Completed_Story_Points,Velocity
Sprint 1,Authentication,Frank,BA2,QA2,48,43,0.8958333333333334
Sprint 1,Billing,Bob,BA3,QA3,38,15,0.39473684210526316
Sprint 1,Payments,Charlie,BA3,QA5,55,48,0.8727272727272727
Sprint 1,Notifications,Eve,BA3,QA3,44,40,0.9090909090909091
Sprint 1,Reports,Charlie,BA2,QA5,30,17,0.5666666666666667
Sprint 1,Dashboard,Charlie,BA3,QA4,49,47,0.9591836734693877
Sprint 2,Authentication,Frank,BA3,QA5,37,13,0.35135135135135137
Sprint 2,Billing,Charlie,BA1,QA4,33,14,0.42424242424242425
Sprint 2,Payments,Alice,BA1,QA4,23,18,0.782608695652174
Sprint 2,Notifications,David,BA1,QA1,23,19,0.8260869565217391
Sprint 2,Reports,Frank,BA1,QA5,25,10,0.4
Sprint 2,Dashboard,Alice,BA2,QA2,32,16,0.5
Sprint 3,Authentication,Eve,BA2,QA1,51,50,0.9803921568627451
Sprint 3,Billing,Frank,BA3,QA2,20,18,0.9
Sprint 3,Payments,Eve,BA1,QA3,20,10,0.5
Sprint 3,Notifications,Bob,BA1,QA3,41,39,0.9512195121951219
Sprint 3,Reports,Eve,BA2,QA2,40,26,0.65
Sprint 3,Dashboard,Charlie,BA1,QA2,60,42,0.7
Sprint 4,Authentication,Eve,BA2,QA1,27,23,0.8518518518518519
Sprint 4,Billing,Bob,BA2,QA3,51,45,0.8823529411764706
Sprint 4,Payments,Eve,BA1,QA2,19,10,0.5263157894736842
Sprint 4,Notifications,Charlie,BA3,QA3,45,17,0.37777777777777777
Sprint 4,Reports,Frank,BA2,QA4,32,18,0.5625
Sprint 4,Dashboard,Alice,BA2,QA2,28,22,0.7857142857142857
Sprint 5,Authentication,Charlie,BA3,QA3,54,37,0.6851851851851852
Sprint 5,Billing,Bob,BA3,QA1,17,11,0.6470588235294118
Sprint 5,Payments,Bob,BA2,QA3,45,31,0.6888888888888889
Sprint 5,Notifications,Bob,BA1,QA3,38,11,0.2894736842105263
Sprint 5,Reports,Eve,BA2,QA3,37,15,0.40540540540540543
Sprint 5,Dashboard,Frank,BA2,QA5,33,33,1.0
Sprint 6,Authentication,Frank,BA1,QA2,46,14,0.30434782608695654
Sprint 6,Billing,Charlie,BA2,QA3,40,39,0.975
Sprint 6,Payments,Frank,BA2,QA1,47,45,0.9574468085106383
Sprint 6,Notifications,Bob,BA2,QA4,37,26,0.7027027027027027
Sprint 6,Reports,Eve,BA1,QA3,28,19,0.6785714285714286
Sprint 6,Dashboard,Eve,BA1,QA5,34,31,0.9117647058823529
Sprint 7,Authentication,Charlie,BA3,QA5,20,16,0.8
Sprint 7,Billing,Charlie,BA2,QA3,18,12,0.6666666666666666
Sprint 7,Payments,Bob,BA3,QA4,21,18,0.8571428571428571
Sprint 7,Notifications,Eve,BA3,QA1,17,12,0.7058823529411765
Sprint 7,Reports,Frank,BA1,QA2,36,21,0.5833333333333334
Sprint 7,Dashboard,Alice,BA1,QA4,47,40,0.851063829787234
Sprint 8,Authentication,Frank,BA2,QA5,21,17,0.8095238095238095
Sprint 8,Billing,Frank,BA1,QA3,23,10,0.43478260869565216
Sprint 8,Payments,Alice,BA2,QA3,41,20,0.4878048780487805
Sprint 8,Notifications,Charlie,BA2,QA1,46,41,0.8913043478260869
Sprint 8,Reports,Alice,BA2,QA2,18,13,0.7222222222222222
Sprint 8,Dashboard,Charlie,BA1,QA5,29,20,0.6896551724137931
Sprint 9,Authentication,Alice,BA1,QA2,33,22,0.6666666666666666
Sprint 9,Billing,Eve,BA3,QA4,33,11,0.3333333333333333
Sprint 9,Payments,Charlie,BA1,QA4,33,11,0.3333333333333333
Sprint 9,Notifications,David,BA1,QA5,38,27,0.7105263157894737
Sprint 9,Reports,Alice,BA3,QA2,16,14,0.875
Sprint 9,Dashboard,Eve,BA2,QA1,56,12,0.21428571428571427
Sprint 10,Authentication,Bob,BA1,QA4,35,14,0.4
Sprint 10,Billing,Eve,BA2,QA1,46,25,0.5434782608695652
Sprint 10,Payments,Alice,BA3,QA4,51,39,0.7647058823529411
Sprint 10,Notifications,Bob,BA3,QA4,43,27,0.627906976744186
Sprint 10,Reports,David,BA1,QA1,49,12,0.24489795918367346
Sprint 10,Dashboard,Bob,BA2,QA1,33,28,0.8484848484848485
Sprint 11,Authentication,Charlie,BA1,QA3,43,43,1.0
Sprint 11,Billing,David,BA3,QA4,44,31,0.7045454545454546
Sprint 11,Payments,Bob,BA2,QA1,38,36,0.9473684210526315
Sprint 11,Notifications,David,BA1,QA3,20,10,0.5
Sprint 11,Reports,Frank,BA3,QA2,46,25,0.5434782608695652
Sprint 11,Dashboard,Bob,BA2,QA4,56,43,0.7678571428571429
Sprint 12,Authentication,Alice,BA3,QA1,31,26,0.8387096774193549
Sprint 12,Billing,Alice,BA1,QA1,27,22,0.8148148148148148
Sprint 12,Payments,David,BA1,QA2,17,11,0.6470588235294118
Sprint 12,Notifications,David,BA2,QA4,31,15,0.4838709677419355
Sprint 12,Reports,Alice,BA3,QA3,26,15,0.5769230769230769
Sprint 12,Dashboard,Frank,BA1,QA2,31,19,0.6129032258064516
Sprint 13,Authentication,Eve,BA3,QA4,21,14,0.6666666666666666
Sprint 13,Billing,Charlie,BA3,QA1,20,13,0.65
Sprint 13,Payments,David,BA3,QA4,46,24,0.5217391304347826
Sprint 13,Notifications,Charlie,BA2,QA5,60,20,0.3333333333333333
Sprint 13,Reports,Alice,BA2,QA1,52,51,0.9807692307692307
Sprint 13,Dashboard,Charlie,BA1,QA3,49,20,0.40816326530612246
Sprint 14,Authentication,Charlie,BA2,QA5,46,21,0.45652173913043476
Sprint 14,Billing,David,BA1,QA4,38,32,0.8421052631578947
Sprint 14,Payments,Bob,BA2,QA3,50,21,0.42
Sprint 14,Notifications,Bob,BA2,QA4,43,31,0.7209302325581395
Sprint 14,Reports,David,BA2,QA2,50,17,0.34
Sprint 14,Dashboard,Eve,BA2,QA4,34,16,0.47058823529411764
Sprint 15,Authentication,Eve,BA1,QA1,28,15,0.5357142857142857
Sprint 15,Billing,David,BA2,QA1,41,38,0.926829268292683
Sprint 15,Payments,David,BA2,QA1,46,27,0.5869565217391305
Sprint 15,Notifications,Charlie,BA3,QA1,29,11,0.3793103448275862
Sprint 15,Reports,Frank,BA1,QA2,45,31,0.6888888888888889
Sprint 15,Dashboard,Bob,BA1,QA3,34,27,0.7941176470588235
Sprint 16,Authentication,David,BA2,QA3,16,10,0.625
Sprint 16,Billing,Eve,BA3,QA3,50,49,0.98
Sprint 16,Payments,Charlie,BA1,QA2,24,10,0.4166666666666667
Sprint 16,Notifications,Bob,BA1,QA5,40,38,0.95
Sprint 16,Reports,Frank,BA2,QA1,33,11,0.3333333333333333
Sprint 16,Dashboard,Alice,BA3,QA1,44,16,0.36363636363636365
Sprint 17,Authentication,Charlie,BA1,QA2,58,26,0.4482758620689655
Sprint 17,Billing,David,BA3,QA3,20,19,0.95
Sprint 17,Payments,Bob,BA2,QA2,32,28,0.875
Sprint 17,Notifications,Charlie,BA3,QA5,15,13,0.8666666666666667
Sprint 17,Reports,Frank,BA1,QA3,40,14,0.35
Sprint 17,Dashboard,Charlie,BA3,QA2,55,41,0.7454545454545455
Sprint 18,Authentication,Charlie,BA2,QA4,59,36,0.6101694915254238
Sprint 18,Billing,Bob,BA2,QA2,20,15,0.75
Sprint 18,Payments,Frank,BA1,QA4,59,24,0.4067796610169492
Sprint 18,Notifications,Frank,BA2,QA1,23,22,0.9565217391304348
Sprint 18,Reports,Eve,BA1,QA2,17,16,0.9411764705882353
Sprint 18,Dashboard,David,BA3,QA5,33,26,0.7878787878787878
Sprint 19,Authentication,Alice,BA1,QA1,51,46,0.9019607843137255
Sprint 19,Billing,Alice,BA2,QA3,31,15,0.4838709677419355
Sprint 19,Payments,Eve,BA2,QA3,43,32,0.7441860465116279
Sprint 19,Notifications,Frank,BA3,QA1,56,25,0.44642857142857145
Sprint 19,Reports,Frank,BA2,QA3,41,18,0.43902439024390244
Sprint 19,Dashboard,Frank,BA3,QA3,35,18,0.5142857142857142
Sprint 20,Authentication,David,BA1,QA3,42,31,0.7380952380952381
Sprint 20,Billing,David,BA2,QA5,31,16,0.5161290322580645
Sprint 20,Payments,Bob,BA3,QA4,53,46,0.8679245283018868
Sprint 20,Notifications,Charlie,BA1,QA2,24,11,0.4583333333333333
Sprint 20,Reports,Bob,BA1,QA5,30,29,0.9666666666666667
Sprint 20,Dashboard,Eve,BA3,QA5,48,22,0.4583333333333333
Sprint 21,Authentication,Bob,BA2,QA3,49,31,0.6326530612244898
Sprint 21,Billing,David,BA3,QA1,24,24,1.0
Sprint 21,Payments,Bob,BA2,QA2,17,13,0.7647058823529411
Sprint 21,Notifications,Alice,BA2,QA4,36,19,0.5277777777777778
Sprint 21,Reports,Charlie,BA2,QA1,43,36,0.8372093023255814
Sprint 21,Dashboard,Bob,BA2,QA4,24,22,0.9166666666666666
Sprint 22,Authentication,Charlie,BA1,QA1,41,35,0.8536585365853658
Sprint 22,Billing,Frank,BA2,QA3,47,46,0.9787234042553191
Sprint 22,Payments,Charlie,BA2,QA2,28,25,0.8928571428571429
Sprint 22,Notifications,Frank,BA1,QA3,49,35,0.7142857142857143
Sprint 22,Reports,Frank,BA2,QA5,33,20,0.6060606060606061
Sprint 22,Dashboard,Eve,BA3,QA2,50,29,0.58
Sprint 23,Authentication,Frank,BA2,QA4,32,16,0.5
Sprint 23,Billing,Bob,BA1,QA5,21,10,0.47619047619047616
Sprint 23,Payments,Charlie,BA1,QA3,42,42,1.0
Sprint 23,Notifications,Frank,BA1,QA4,17,17,1.0
Sprint 23,Reports,Bob,BA1,QA2,36,34,0.9444444444444444
Sprint 23,Dashboard,Eve,BA2,QA2,43,26,0.6046511627906976
Sprint 24,Authentication,Alice,BA1,QA1,24,23,0.9583333333333334
Sprint 24,Billing,David,BA3,QA5,35,30,0.8571428571428571
Sprint 24,Payments,Bob,BA2,QA4,43,16,0.37209302325581395
Sprint 24,Notifications,Charlie,BA3,QA1,35,24,0.6857142857142857
Sprint 24,Reports,David,BA2,QA2,36,28,0.7777777777777778
Sprint 24,Dashboard,Frank,BA3,QA2,47,34,0.723404255319149
Sprint 25,Authentication,Alice,BA3,QA5,16,15,0.9375
Sprint 25,Billing,Bob,BA2,QA5,46,29,0.6304347826086957
Sprint 25,Payments,Alice,BA3,QA4,46,18,0.391304347826087
Sprint 25,Notifications,Charlie,BA3,QA4,44,15,0.3409090909090909
Sprint 25,Reports,Eve,BA2,QA5,24,11,0.4583333333333333
Sprint 25,Dashboard,Bob,BA3,QA1,40,36,0.9
Sprint 26,Authentication,Frank,BA1,QA3,33,29,0.8787878787878788
Sprint 26,Billing,Eve,BA1,QA5,52,39,0.75
Sprint 26,Payments,Bob,BA2,QA3,42,39,0.9285714285714286
Sprint 26,Notifications,Frank,BA2,QA4,45,42,0.9333333333333333
Sprint 26,Reports,David,BA3,QA3,22,16,0.7272727272727273
Sprint 26,Dashboard,Eve,BA3,QA5,43,26,0.6046511627906976
Sprint 27,Authentication,Bob,BA3,QA3,23,11,0.4782608695652174
Sprint 27,Billing,Bob,BA2,QA2,37,12,0.32432432432432434
Sprint 27,Payments,Frank,BA3,QA2,29,24,0.8275862068965517
Sprint 27,Notifications,Charlie,BA3,QA5,59,59,1.0
Sprint 27,Reports,Eve,BA2,QA3,47,14,0.2978723404255319
Sprint 27,Dashboard,Frank,BA2,QA5,37,10,0.2702702702702703
Sprint 28,Authentication,Eve,BA3,QA3,27,15,0.5555555555555556
Sprint 28,Billing,Charlie,BA2,QA3,40,39,0.975
Sprint 28,Payments,Eve,BA2,QA4,32,23,0.71875
Sprint 28,Notifications,David,BA1,QA4,55,42,0.7636363636363637
Sprint 28,Reports,Frank,BA1,QA5,54,11,0.2037037037037037
Sprint 28,Dashboard,David,BA2,QA3,41,23,0.5609756097560976
Sprint 29,Authentication,Frank,BA1,QA4,57,48,0.8421052631578947
Sprint 29,Billing,Charlie,BA1,QA1,16,10,0.625
Sprint 29,Payments,Alice,BA3,QA3,30,14,0.4666666666666667
Sprint 29,Notifications,Bob,BA2,QA3,54,29,0.5370370370370371
Sprint 29,Reports,Frank,BA3,QA2,60,42,0.7
Sprint 29,Dashboard,Alice,BA2,QA3,60,32,0.5333333333333333
Sprint 30,Authentication,David,BA1,QA3,53,13,0.24528301886792453
Sprint 30,Billing,Alice,BA2,QA5,22,17,0.7727272727272727
Sprint 30,Payments,Alice,BA3,QA3,41,36,0.8780487804878049
Sprint 30,Notifications,Frank,BA1,QA2,55,22,0.4
Sprint 30,Reports,Frank,BA1,QA5,32,17,0.53125
Sprint 30,Dashboard,Alice,BA3,QA5,60,45,0.75
Sprint 31,Authentication,David,BA3,QA1,42,24,0.5714285714285714
Sprint 31,Billing,Bob,BA2,QA5,22,22,1.0
Sprint 31,Payments,Charlie,BA2,QA3,43,37,0.8604651162790697
Sprint 31,Notifications,David,BA3,QA2,21,20,0.9523809523809523
Sprint 31,Reports,Charlie,BA2,QA2,53,50,0.9433962264150944
Sprint 31,Dashboard,Bob,BA1,QA4,15,11,0.7333333333333333
Sprint 32,Authentication,David,BA2,QA2,48,24,0.5
Sprint 32,Billing,David,BA3,QA1,34,18,0.5294117647058824
Sprint 32,Payments,Eve,BA1,QA5,47,42,0.8936170212765957
Sprint 32,Notifications,Eve,BA3,QA5,55,21,0.38181818181818183
Sprint 32,Reports,Alice,BA3,QA2,60,34,0.5666666666666667
Sprint 32,Dashboard,Charlie,BA2,QA5,51,29,0.5686274509803921
Sprint 33,Authentication,Frank,BA2,QA3,37,28,0.7567567567567568
Sprint 33,Billing,David,BA3,QA2,29,18,0.6206896551724138
Sprint 33,Payments,Charlie,BA2,QA5,49,19,0.3877551020408163
Sprint 33,Notifications,David,BA1,QA2,20,15,0.75
Sprint 33,Reports,Charlie,BA1,QA4,17,17,1.0
Sprint 33,Dashboard,Bob,BA1,QA2,27,10,0.37037037037037035
Sprint 34,Authentication,Eve,BA3,QA1,49,25,0.5102040816326531
Sprint 34,Billing,Eve,BA2,QA4,33,11,0.3333333333333333
Sprint 34,Payments,Eve,BA2,QA5,21,18,0.8571428571428571
Sprint 34,Notifications,Eve,BA3,QA1,21,18,0.8571428571428571
Sprint 34,Reports,David,BA1,QA3,35,18,0.5142857142857142
Sprint 34,Dashboard,Alice,BA2,QA2,38,24,0.631578947368421
Sprint 35,Authentication,Frank,BA1,QA4,51,16,0.3137254901960784
Sprint 35,Billing,Alice,BA2,QA1,23,18,0.782608695652174
Sprint 35,Payments,Eve,BA2,QA1,42,19,0.4523809523809524
Sprint 35,Notifications,David,BA1,QA5,46,11,0.2391304347826087
Sprint 35,Reports,Charlie,BA3,QA3,24,20,0.8333333333333334
Sprint 35,Dashboard,Eve,BA1,QA5,38,28,0.7368421052631579
Sprint 36,Authentication,Alice,BA1,QA3,55,22,0.4
Sprint 36,Billing,Eve,BA3,QA3,33,18,0.5454545454545454
Sprint 36,Payments,David,BA1,QA4,33,22,0.6666666666666666
Sprint 36,Notifications,Bob,BA1,QA4,59,57,0.9661016949152542
Sprint 36,Reports,Charlie,BA2,QA4,33,28,0.8484848484848485
Sprint 36,Dashboard,Bob,BA2,QA1,33,14,0.42424242424242425
Sprint 37,Authentication,Eve,BA3,QA1,46,23,0.5
Sprint 37,Billing,Charlie,BA2,QA4,39,29,0.7435897435897436
Sprint 37,Payments,David,BA3,QA4,28,25,0.8928571428571429
Sprint 37,Notifications,Eve,BA2,QA4,52,23,0.4423076923076923
Sprint 37,Reports,David,BA3,QA4,33,17,0.5151515151515151
Sprint 37,Dashboard,Bob,BA3,QA3,30,19,0.6333333333333333
Sprint 38,Authentication,Eve,BA1,QA1,52,33,0.6346153846153846
Sprint 38,Billing,David,BA2,QA5,38,11,0.2894736842105263
Sprint 38,Payments,David,BA2,QA3,47,23,0.48936170212765956
Sprint 38,Notifications,Eve,BA2,QA3,47,33,0.7021276595744681
Sprint 38,Reports,Bob,BA1,QA3,35,20,0.5714285714285714
Sprint 38,Dashboard,Charlie,BA2,QA2,36,24,0.6666666666666666
Sprint 39,Authentication,Frank,BA3,QA1,39,20,0.5128205128205128
Sprint 39,Billing,Eve,BA1,QA3,48,16,0.3333333333333333
Sprint 39,Payments,Charlie,BA3,QA2,48,32,0.6666666666666666
Sprint 39,Notifications,Bob,BA1,QA2,34,29,0.8529411764705882
Sprint 39,Reports,Alice,BA3,QA2,43,37,0.8604651162790697
Sprint 39,Dashboard,Charlie,BA3,QA5,15,10,0.6666666666666666
Sprint 40,Authentication,Charlie,BA2,QA4,43,13,0.3023255813953488
Sprint 40,Billing,Alice,BA1,QA4,36,11,0.3055555555555556
Sprint 40,Payments,Alice,BA1,QA1,54,14,0.25925925925925924
Sprint 40,Notifications,Eve,BA1,QA4,43,17,0.3953488372093023
Sprint 40,Reports,Eve,BA3,QA2,29,16,0.5517241379310345
Sprint 40,Dashboard,Alice,BA2,QA1,58,42,0.7241379310344828
Sprint 41,Authentication,Frank,BA2,QA4,22,17,0.7727272727272727
Sprint 41,Billing,Frank,BA3,QA1,40,36,0.9
Sprint 41,Payments,David,BA3,QA1,29,25,0.8620689655172413
Sprint 41,Notifications,David,BA1,QA1,53,44,0.8301886792452831
Sprint 41,Reports,Bob,BA3,QA3,54,29,0.5370370370370371
Sprint 41,Dashboard,Frank,BA2,QA3,59,49,0.8305084745762712
Sprint 42,Authentication,David,BA2,QA1,17,14,0.8235294117647058
Sprint 42,Billing,Alice,BA3,QA3,33,16,0.48484848484848486
Sprint 42,Payments,Frank,BA2,QA5,46,11,0.2391304347826087
Sprint 42,Notifications,Frank,BA2,QA2,43,23,0.5348837209302325
Sprint 42,Reports,Eve,BA1,QA3,27,12,0.4444444444444444
Sprint 42,Dashboard,David,BA2,QA3,16,15,0.9375
Sprint 43,Authentication,Alice,BA1,QA3,48,26,0.5416666666666666
Sprint 43,Billing,Charlie,BA1,QA1,50,49,0.98
Sprint 43,Payments,David,BA1,QA2,40,21,0.525
Sprint 43,Notifications,Charlie,BA2,QA4,38,34,0.8947368421052632
Sprint 43,Reports,David,BA3,QA5,39,18,0.46153846153846156
Sprint 43,Dashboard,Bob,BA3,QA5,57,25,0.43859649122807015
Sprint 44,Authentication,Charlie,BA2,QA1,39,21,0.5384615384615384
Sprint 44,Billing,Bob,BA1,QA2,22,18,0.8181818181818182
Sprint 44,Payments,Frank,BA3,QA4,26,20,0.7692307692307693
Sprint 44,Notifications,David,BA2,QA5,48,20,0.4166666666666667
Sprint 44,Reports,Eve,BA2,QA4,51,36,0.7058823529411765
Sprint 44,Dashboard,David,BA1,QA4,39,35,0.8974358974358975
Sprint 45,Authentication,Frank,BA2,QA2,60,11,0.18333333333333332
Sprint 45,Billing,Frank,BA1,QA5,50,31,0.62
Sprint 45,Payments,Eve,BA2,QA4,52,31,0.5961538461538461
Sprint 45,Notifications,Frank,BA1,QA5,38,14,0.3684210526315789
Sprint 45,Reports,Alice,BA1,QA3,40,20,0.5
Sprint 45,Dashboard,David,BA1,QA5,24,16,0.6666666666666666
Sprint 46,Authentication,Eve,BA2,QA2,22,12,0.5454545454545454
Sprint 46,Billing,Frank,BA2,QA1,39,25,0.6410256410256411
Sprint 46,Payments,Eve,BA1,QA4,40,40,1.0
Sprint 46,Notifications,Eve,BA3,QA2,56,53,0.9464285714285714
Sprint 46,Reports,Eve,BA3,QA3,16,16,1.0
Sprint 46,Dashboard,Alice,BA2,QA2,27,17,0.6296296296296297
Sprint 47,Authentication,David,BA2,QA2,28,24,0.8571428571428571
Sprint 47,Billing,Frank,BA3,QA2,59,43,0.7288135593220338
Sprint 47,Payments,David,BA2,QA2,21,11,0.5238095238095238
Sprint 47,Notifications,Alice,BA2,QA2,46,30,0.6521739130434783
Sprint 47,Reports,David,BA2,QA2,50,43,0.86
Sprint 47,Dashboard,Frank,BA1,QA5,26,15,0.5769230769230769
Sprint 48,Authentication,Frank,BA2,QA5,31,14,0.45161290322580644
Sprint 48,Billing,Bob,BA1,QA5,48,44,0.9166666666666666
Sprint 48,Payments,Frank,BA3,QA2,23,16,0.6956521739130435
Sprint 48,Notifications,Bob,BA3,QA1,54,26,0.48148148148148145
Sprint 48,Reports,Eve,BA1,QA5,42,26,0.6190476190476191
Sprint 48,Dashboard,Frank,BA3,QA2,51,34,0.6666666666666666
Sprint 49,Authentication,Alice,BA2,QA4,17,17,1.0
Sprint 49,Billing,Alice,BA1,QA2,49,18,0.3673469387755102
Sprint 49,Payments,Eve,BA3,QA3,15,15,1.0
Sprint 49,Notifications,Charlie,BA3,QA5,55,54,0.9818181818181818
Sprint 49,Reports,Frank,BA1,QA3,51,44,0.8627450980392157
Sprint 49,Dashboard,Charlie,BA2,QA3,44,28,0.6363636363636364
Sprint 50,Authentication,Bob,BA3,QA2,24,19,0.7916666666666666
Sprint 50,Billing,Bob,BA3,QA3,33,29,0.8787878787878788
Sprint 50,Payments,Bob,BA3,QA4,37,34,0.918918918918919
Sprint 50,Notifications,Eve,BA3,QA3,40,30,0.75
Sprint 50,Reports,Charlie,BA1,QA4,41,22,0.5365853658536586
Sprint 50,Dashboard,Bob,BA3,QA2,31,19,0.6129032258064516
